средняя вложенность,время(ms)
6,416
3,236
3,206
3,122
5,378
3,122
10,871
5,365
3,91
2,79
5,506
10,766
10,806
5,325
10,648
3,95
10,735
3,118
3,102
3,77
3,170
2,99
5,367
3,187
5,325
10,702
5,265
3,110
2,146
10,761
10,696
3,164
10,711
3,132
5,362
10,708
3,117
3,242
10,687
3,238
10,700
3,311
3,138
3,95
3,141
2,73
2,64
3,171
5,349
3,175
10,620
3,73
10,858
5,325
3,88
2,58
10,745
10,688
3,108
10,690
10,649
3,82
2,72
3,97
10,615
2,79
5,273
2,73
3,105
10,646
2,123
3,105
3,137
3,121
3,132
4,214
3,122
10,1094
10,680
3,147
5,300
10,686
10,914
3,218
10,831
3,250
10,633
10,718
5,280
2,72
5,391
10,857
3,120
3,190
3,95
4,469
10,749
2,43
3,120
10,637
2,11
2,0
2,47
3,13
2,1
2,6
2,1
2,0
2,1
2,1
2,1
2,3
2,2
3,29
3,23
2,1
2,1
2,1
2,4
2,31
2,1
2,1
2,0
2,4
2,3
2,10
2,5
2,1
2,0
2,0
2,1
2,4
2,1
2,0
2,3
2,8
2,0
2,0
2,0
2,0
2,3
2,6
2,9
2,32
2,2
2,0
2,3
2,0
2,0
2,17
2,0
2,0
2,0
2,0
2,0
2,0
2,12
3,26
2,15
2,6
2,1
2,0
2,0
2,2
2,1
2,0
2,0
2,0
2,1
2,0
2,14
2,12
2,0
2,0
2,7
2,0
2,0
2,25
2,1
2,6
2,3
2,25
2,0
2,13
2,0
2,0
2,0
2,5
3,22
2,3
2,1
2,0
2,4
2,1
2,0
2,1
3,24
2,0
2,6
2,2
2,0
2,1
2,4
2,2
3,24
2,0
2,4
2,2
2,0
2,1
2,0
2,1
2,6
2,1
3,14
2,5
3,37
2,3
2,1
3,15
2,0
2,0
3,14
3,25
2,1
2,1
2,6
2,4
2,36
2,0
2,0
2,14
2,0
2,5
2,1
2,10
2,44
2,0
2,0
2,7
2,14
2,22
2,2
2,0
2,0
2,1
2,1
2,2
2,1
2,1
2,0
2,0
2,2
2,11
2,2
2,0
2,3
3,34
2,12
2,7
2,0
3,0
2,34
2,31
2,24
2,25
2,44
2,39
2,39
2,39
2,24
2,24
2,42
2,42
2,30
2,24
2,40
2,25
2,41
2,36
2,24
2,33
2,28
2,51
2,39
2,43
2,10
2,17
2,11
2,12
2,13
2,13
2,22
2,13
2,19
2,14
2,8
2,8
2,12
2,10
2,8
2,11
2,7
2,7
2,13
2,13
2,14
2,13
2,15
2,13
2,16
2,16
2,14
2,9
2,13
2,11
2,12
2,14
2,13
2,15
2,22
2,13
2,14
2,7
2,12
2,14
2,7
2,6
2,7
2,11
2,7
2,8
2,8
2,9
2,15
2,13
2,15
2,16
2,11
2,11
2,13
2,19
2,12
2,13
2,13
2,13
2,10
2,10
2,22
2,14
2,22
2,19
2,22
2,4
2,8
2,8
2,8
2,17
2,9
2,10
2,9
2,7
2,14
2,7
2,14
2,7
2,8
2,13
2,15
2,8
2,15
2,7
2,18
2,15
2,14
2,10
2,15
2,14
2,12
2,22
2,15
2,23
2,13
2,14
2,14
2,36
2,32
2,28
2,32
2,22
2,43
2,48
2,28
2,41
2,50
2,19
2,36
2,36
2,41
2,53
2,45
2,45
2,57
2,39
2,66
2,58
2,42
2,29
2,33
2,48
2,68
2,45
2,53
2,44
2,52
2,70
2,50
2,55
2,93
2,77
2,55
2,83
2,51
2,66
2,46
2,70
2,51
2,61
2,75
2,84
2,35
2,61
2,53
2,57
2,71
2,65
2,83
2,75
2,77
2,89
2,77
2,77
2,74
2,76
2,57
2,79
2,95
2,71
2,62
2,74
2,88
2,76
2,76
2,79
2,75
2,50
2,82
2,80
2,58
2,50
2,68
2,142
2,146
2,161
2,142
2,138
2,166
2,143
2,146
2,161
2,147
2,172
2,163
2,162
2,180
2,149
2,164
2,173
2,159
2,191
2,145
2,180
2,147
2,162
2,157
2,160
2,184
2,169
2,179
2,165
2,189
2,196
2,156
2,195
2,169
2,188
2,156
2,156
2,176
2,191
2,184
2,167
2,201
2,189
2,176
2,158
2,191
2,201
2,146
2,138
2,149
2,179
2,158
2,160
2,182
2,183
2,168
2,209
2,170
2,192
2,160
2,164
2,155
2,169
2,193
2,167
2,228
2,178
2,225
2,27
2,43
2,43
2,28
2,48
2,34
2,158
2,185
2,194
2,229
2,209
2,201
2,217
2,292
2,277
2,292
2,470
2,215
2,223
2,216
2,174
2,223
2,206
2,207
2,223
2,202
2,264
2,253
2,197
2,208
2,193
2,191
2,225
2,232
2,182
2,208
2,197
2,131
2,216
2,203
2,31
2,51
2,37
2,40
2,39
2,168
2,198
2,193
5,165
5,87
5,78
5,104
13,1018
5,73
6,99
8,1218
8,1067
5,71
